semester,course_id,official_lecture_name,official_prof_name,Lecture Name,Professor Name,english,assignments,team_projects,attendance,exams,total_score,etc
2019-1,IEC4010,Political & Economic Development in Korea,Yoo Chull,Political & Economic Development in Korea,Yoo Chul,All of the course are delivered in English,Average,None,checked every time,2,5,Very good professor. We talk about very diverse subject about Korea.
2019-1,SWF3016,Social Service Marketing,Oh Danny,Services marketing,I don?셳 know,"Most of the course are delivered in English, but Korean is seldomly used.",Many,Average,checked every time,More than 2,3,Very interesting but lots of assignments
2019-1,IEC4008,Understanding Asian Culture,Choi Won Kyung,Understanding Asian Culture,Choi Wonkyung,All of the course are delivered in English,Average,None,checked every time,None,3,The professor tried her best and we watched two really intersting documentaries.
2019-1,IEC4009,Contemporary Korean Society & Culture,Shin Eui Hang,Contemporary Korean Society and Culture,Shin Euihang,All of the course are delivered in English,Many,None,checked every time,2,4,The professor tried to have a lot of discussions. His power point slides were well organized and not too much. He sometimes used pictures and video clips of documentariers to keep it interesting.
2019-1,IEC4010,Political & Economic Development in Korea,Yoo Chull,Political and Economic Development in Korea,Yoo Chul,All of the course are delivered in English,Average,None,checked every time,2,4,The part of the politcal development in Korea was really interesting for me. I learned a lot in his class about this topic. The professor knew a lot and prepared pictures as well es power point slides.
2019-1,IEC4014,Comparative Thought and Culture: Horizons East and West,Kang Su Jeong,Comparative Thought and Culture: Horizons East and West,Kang Soojung,All of the course are delivered in English,Many,Average,checked every time,1,4,The professor had well prepared power point slides and I was able to do some research for a group project. We watched a really intersting movie about the economic developmen of Korea as well as a documentary about the economic development of China.
2019-1,IEC7007,Basic Korean Program,Bae Mi Yeon,Basic Korean,Bae Miyeon,Korean is mostly used,Average,None,checked every time,2,5,The teacher talked mostly in Korean which was really helpful because I wanted to learn the language. She was really nice and helped when someone was struggling with the pronounciation.
2019-1,IEC4008,Understanding Asian Culture,Choi Won Kyung,Understanding Asian Culture,Choi Wonkyung,All of the course are delivered in English,None,None,checked every time,None,2,"the course is easy, but not very interesting since the teacher is a little bit shy and just reads off a paper every class. if you're looking for an easy course, this could be it but I wouldn't recommend it since it turned out to be very boring."
2019-1,SOC3004,Sociology of Human Sexuality,Choi Moon Hee,Sociology of Human Sexuality,Choi Moonhee,All of the course are delivered in English,Average,None,checked every time,None,4,"the class is interesting thanks to the topic and the readings that are due for every class, but sometimes it can become boring if the students don't engage."
2019-1,DES2015,Photo Studio,Whang Sun Young,Photo Studio,Hwang Sunyoung,English and Korean are used evenly,Average,None,checked every time,None,5,"it is an easy course but with an interesting approach on photography. it doesn't focus on the technique aspect, it has a more artistic approach instead. the teacher is very nice and very understanding."
2019-1,PHL3030,Philosophical writing and debate,Robitzsch Jan Maximilian,Philosophical writing and debate,,All of the course are delivered in English,Many,None,checked every time,None,5,"this was the best course i took during my exchange. you will engage in interesting debates regarding one philosophical topic during the whole semester. the professor provides different and interesting lectures on it and encourages the students to think by themselves while also teaching us how to formulate coherent and sound arguments. i would totally recommend this class as it is interesting, not hard at all, and the teacher is very good."
2019-1,SWE3002,Introduction to Software Engineering,Lee Eun Seok,Introduction to Software Engineering,Lee Eun Seok,"Most of the course are delivered in English, but Korean is seldomly used.",Many,Average,checked every time,2,4,"huge project and lots of work, intimidating professor"
2019-1,ICE2001,Logic Circuits,Yoo Jae Chern,Logic Circuits,Yoo Jae Chern,All of the course are delivered in English,Average,None,checked every time,2,4,"lots of assignments, ok lecturer"
